Topic,Sub topic,Query name,Internal ID,Query
Competitors,Integra Lifesciences,French,F99614C26D1E11EAB588A4BF010A3E06,"((""integra lifesciences"" OR integralifesciences) AND (rappel* OR ""rappel produit*"" OR ""avis de sécurité"" OR ""consigne de securité"" OR ""notice de securité"" OR ""avertissement de sécurité"" OR ""retrait du marché"" OR ""retiré du marché"" OR ""action* menée*"" OR ""action de terrain"" OR ""mesures prises"" OR ""champ d'action"" OR ""pfa"" OR ""field corrective action*"" OR ""action corrective de securite"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Integra Lifesciences,German,F9C7B3D36D1E11EAB588A4BF010A3E06,"((""integra lifesciences"" OR ""integralifesciences"") NEAR/9 (""rückruf"" OR ""produktrückruf"" OR ""sicherheitshinweis"" OR ""beratungshinweis"" OR ""marktrücknahme"" OR ""product field action"" OR ""produktfeld aktion"" OR ""produktfeldaktion"" OR ""produktfeldaktionen"" OR ""pfa"" OR ""field safety corrective action"" OR ""sicherheitskorrekturmaßnahmen im feld"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Integra Lifesciences,Italian,5A08CBC50EEE11EB94DAD8C497B5E817,"((""integra lifesciences"" OR ""integralifesciences"") NEAR/9 (recall* OR ""richiamare"" OR ""richiamo del prodotto"" OR ""richiamo del prodotto"" OR ""richiamo di prodotti"" OR ""avviso di sicurezza"" OR ""avviso sulla sicurezza"" OR ""avviso di consulenza"" OR ""rimozione dal mercato del prodotto"" OR ""azione sul campo del prodotto"" OR ""azione correttiva di sicurezza sul campo"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Integra Lifesciences,Portuguese,54CA9AC00EEE11EBACD4D8C497D0D2A9,"((""integra lifesciences"" OR ""integralifesciences"") NEAR/9 (""recall*"" OR ""recolha de produto"" OR ""aviso de segurança"" OR ""aviso de consulta"" OR ""remoção de produtos do mercado"" OR ""acção de campo de produto"" OR ""ação corretiva de segurança no terreno"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Integra Lifesciences,Spanish,F9B7F38F6D1E11EAB588A4BF010A3E06,"((""integra lifesciences"" OR ""integralifesciences"") NEAR/9 (""retirada"" OR ""retirada de productos"" OR ""aviso de seguridad"" OR ""aviso consultivo"" OR ""eliminación del mercado"" OR ""acción de campo del producto"" OR ""pfa"" OR ""acción correctiva de seguridad de campo"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Smith and Nephew,English,F91466A36D1E11EAB588A4BF010A3E06,"((""Smith and Nephew"" OR SmithandNephew OR ""Smith & Nephew"" OR ""Smith&Nephew"") NEAR/9 (recall* OR ""safety notice"" OR ""advisory notice"" OR ""market removal"" OR ""product field action"" OR ""pfa"" OR ""field corrective action*"" OR ""field safety corrective action"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Smith and Nephew,French,F904C5E76D1E11EAB588A4BF010A3E06,"((""Smith and Nephew"" OR SmithandNephew OR ""Smith & Nephew"" OR ""Smith&Nephew"") AND (rappel OR (rappel NEAR/2 produit*) OR avis OR ""avis de sécurité"" OR ""consigne de securité"" OR ""notice de securité"" OR ""avertissement de sécurité"" OR ""retrait du marché"" OR ""retiré du marché"" OR ""action* menée*"" OR ""action de terrain"" OR ""mesures prises"" OR ""champ d'action"" OR ""pfa"" OR ""action corrective de securite"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Smith and Nephew,German,F93B46DC6D1E11EAB588A4BF010A3E06,"((""smith and nephew"" OR ""smithandnephew"" OR ""smith & nephew"" OR ""smith&nephew"") NEAR/9 (""rückruf"" OR ""produktrückruf"" OR ""sicherheitshinweis"" OR ""beratungshinweis"" OR ""marktrücknahme"" OR ""product field action"" OR ""produktfeld aktion"" OR ""produktfeldaktion"" OR ""produktfeldaktionen"" OR ""pfa"" OR ""field safety corrective action"" OR ""sicherheitskorrekturmaßnahmen im feld"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Smith and Nephew,Italian,405221AB0EEE11EBAE16D8C497B5E93E,"((""smith and nephew"" OR ""smithandnephew"" OR ""smith & nephew"" OR ""smith&nephew"") NEAR/9 (recall* OR ""richiamare"" OR ""richiamo del prodotto"" OR ""richiamo del prodotto"" OR ""richiamo di prodotti"" OR ""avviso di sicurezza"" OR ""avviso sulla sicurezza"" OR ""avviso di consulenza"" OR ""rimozione dal mercato del prodotto"" OR ""azione sul campo del prodotto"" OR ""azione correttiva di sicurezza sul campo"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Smith and Nephew,Portuguese,3AD4CEAB0EEE11EBAE16D8C497B5E93E,"((""smith and nephew"" OR ""smithandnephew"" OR ""smith & nephew"" OR ""smith&nephew"") NEAR/9 (""recall*"" OR ""recolha de produto"" OR ""aviso de segurança"" OR ""aviso de consulta"" OR ""remoção de produtos do mercado"" OR ""acção de campo de produto"" OR ""ação corretiva de segurança no terreno"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Smith and Nephew,Spanish,F9263A3B6D1E11EAB588A4BF010A3E06,"((""smith and nephew"" OR ""smithandnephew"" OR ""smith & nephew"" OR ""smith&nephew"") NEAR/9 (""retirada"" OR ""retirada de productos"" OR ""aviso de seguridad"" OR ""aviso consultivo"" OR  ""eliminación del mercado"" OR ""acción de campo del producto"" OR ""pfa"" OR ""acción correctiva de seguridad de campo"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Wright Medical,English,F9DB21AB6D1E11EAB588A4BF010A3E06,"((""wright medical"" OR wrightmedical) NEAR/9 (recall* OR ""product recall"" OR ""safety notice"" OR ""advisory notice"" OR ""market removal"" OR ""product field action"" OR ""pfa"" OR ""field safety corrective action"" OR ""field corrective action*"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Wright Medical,French,F9EA7F156D1E11EAB588A4BF010A3E06,"((""wright medical"" OR wrightmedical) AND (rappel OR ""rappel produit*"" OR avis OR ""avis de sécurité"" OR ""consigne de securité"" OR ""notice de securité"" OR ""avertissement de sécurité"" OR ""retrait du marché"" OR ""retiré du marché"" OR ""action* menée*"" OR ""action de terrain"" OR ""mesures prises"" OR ""champ d'action"" OR ""pfa"" OR ""action corrective de securite"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Wright Medical,German,FA0A7EDF6D1E11EAB588A4BF010A3E06,"((""wright medical"" OR ""wrightmedical"") NEAR/9 (""rückruf"" OR ""produktrückruf"" OR ""sicherheitshinweis"" OR ""beratungshinweis"" OR ""marktrücknahme"" OR ""product field action"" OR ""produktfeld aktion"" OR ""produktfeldaktion"" OR ""produktfeldaktionen"" OR ""pfa"" OR ""field safety corrective action"" OR ""sicherheitskorrekturmaßnahmen im feld"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Wright Medical,Italian,65B484840EEE11EB94DAD8C497B5E817,"((""wright medical"" OR ""wrightmedical"") NEAR/9 (recall* OR ""richiamare"" OR ""richiamo del prodotto"" OR ""richiamo del prodotto"" OR ""richiamo di prodotti"" OR ""avviso di sicurezza"" OR ""avviso sulla sicurezza"" OR ""avviso di consulenza"" OR ""rimozione dal mercato del prodotto"" OR ""azione sul campo del prodotto"" OR ""azione correttiva di sicurezza sul campo"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Wright Medical,Portuguese,5FD795510EEE11EB8B72D8C497554706,"((""wright medical"" OR ""wrightmedical"") NEAR/9 (""recall*"" OR ""recolha de produto"" OR ""aviso de segurança"" OR ""aviso de consulta"" OR ""remoção de produtos do mercado"" OR ""acção de campo de produto"" OR ""ação corretiva de segurança no terreno"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Wright Medical,Spanish,F9FA9E2B6D1E11EAB588A4BF010A3E06,"((""wright medical"" OR ""wrightmedical"") NEAR/9 (""retirada"" OR ""retirada de productos"" OR ""aviso de seguridad"" OR ""aviso consultivo"" OR ""eliminación del mercado"" OR ""acción de campo del producto"" OR ""pfa"" OR ""acción correctiva de seguridad de campo"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Zimmer Biomet,English,FB53885B784811ECBCE5D8C497B5E817,"((""zimmer biomet"" OR zimmerbiomet) NEAR/9 (recall* OR ""product recall"" OR ""safety notice"" OR ""advisory notice"" OR ""market removal"" OR ""product field action"" OR ""pfa"" OR ""field safety corrective action"" OR ""field corrective action*"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Zimmer Biomet,French,FB58FD16784811EC978AD8C497D0D2A9,"((""zimmer biomet"" OR zimmerbiomet) AND (rappel OR ""rappel produit*""  OR ""avis de sécurité"" OR ""consigne de securité"" OR ""notice de securité"" OR ""avertissement de sécurité"" OR ""retrait du marché"" OR ""retiré du marché"" OR ""action* menée*"" OR ""action de terrain"" OR ""mesures prises"" OR ""champ d'action"" OR ""pfa"" OR ""action corrective de securite"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Zimmer Biomet,German,FB609B2D784811EC9ADCD8C497554706,"((""biomet zimmer"" OR ""zimmerbiomet"") NEAR/9 (""rückruf"" OR ""produktrückruf"" OR ""sicherheitshinweis"" OR ""beratungshinweis"" OR ""marktrücknahme"" OR ""product field action"" OR ""produktfeld aktion"" OR ""produktfeldaktion"" OR ""produktfeldaktionen"" OR ""pfa"" OR ""field safety corrective action"" OR ""sicherheitskorrekturmaßnahmen im feld"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Zimmer Biomet,Italian,FB4DA124784811EC9ADCD8C497554706,"((""zimmer biomet"" OR zimmerbiomet) NEAR/9 (recall* OR ""richiamare"" OR ""richiamo del prodotto"" OR ""richiamo del prodotto"" OR ""richiamo di prodotti"" OR ""avviso di sicurezza"" OR ""avviso sulla sicurezza"" OR ""avviso di consulenza"" OR ""rimozione dal mercato del prodotto"" OR ""azione sul campo del prodotto"" OR ""azione correttiva di sicurezza sul campo"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Zimmer Biomet,Portuguese,FB492417784811EC8859D8C497B5E93E,"((""zimmer biomet"" OR zimmerbiomet) NEAR/9 (""recall*"" OR ""recolha de produto"" OR ""aviso de segurança"" OR ""aviso de consulta"" OR ""remoção de produtos do mercado"" OR ""acção de campo de produto"" OR ""ação corretiva de segurança no terreno"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Zimmer Biomet,Spanish,FB5D75AD784811EC8859D8C497B5E93E,"((""biomet zimmer"" OR ""zimmerbiomet"") NEAR/9 (""retirada"" OR ""retirada de productos"" OR ""aviso de seguridad"" OR ""aviso consultivo"" OR  ""eliminación del mercado"" OR ""acción de campo del producto"" OR ""pfa"" OR ""acción correctiva de seguridad de campo"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors death related events,Depuy-Synthes,English,50AEC28B033411EBAEFBD8C497554706,"((""Depuy-Synthes"" OR ""DepuySynthes"" OR ""Depuy Synthes"") NEAR/9 (""responsible for"" OR ""responsible of"" OR patient OR patients OR relative* OR man OR men OR woman OR women OR kid OR kids OR child OR children OR teenager OR husband OR wife OR boy OR boys OR girl OR girls OR son OR daughter OR father OR mother OR dad OR mom OR friend) NEAR/9 (death OR died OR die OR dies OR dead OR deced* OR ""passed away"" OR deceased OR decesed OR demise OR passed OR passing OR (lost NEAR/1 (my OR his OR her OR our OR your OR their)) OR ""the loss"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors death related events,Integra Lifesciences,English,53B2D902033411EBAEFBD8C497554706,"((""integra lifesciences"" OR integralifesciences*) NEAR/9 (""responsible for"" OR ""responsible of"" OR patient OR patients OR relative* OR man OR men OR woman OR women OR kid OR kids OR child OR children OR teenager OR husband OR wife OR boy OR boys OR girl OR girls OR son OR daughter OR father OR mother OR dad OR mom OR friend) NEAR/9 (death OR died OR die OR dies OR dead OR deced* OR ""passed away"" OR deceased OR decesed OR demise OR passed OR passing OR (lost NEAR/1 (my OR his OR her OR our OR your OR their)) OR ""the loss"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors death related events,Smith and Nephew,English,44F72A24033411EBAEFBD8C497554706,"((""Smith and Nephew"" OR SmithandNephew* OR ""Smith & Nephew"" OR ""Smith&Nephew"") NEAR/9 (""responsible for"" OR ""responsible of"" OR patient OR patients OR relative* OR man OR men OR woman OR women OR kid OR kids OR child OR children OR teenager OR husband OR wife OR boy OR boys OR girl OR girls OR son OR daughter OR father OR mother OR dad OR mom OR friend) NEAR/9 (death OR died OR die OR dies OR dead OR deced* OR ""passed away"" OR deceased OR decesed OR demise OR passed OR passing OR (lost NEAR/1 (my OR his OR her OR our OR your OR their)) OR ""the loss"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
